"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","month","year","Ozone","PM2.5"
2017-01-01,"Blackstone","Lee",35.4325,-79.2887,1,2017,27,25
2017-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,40
2017-01-02,"Blackstone","Lee",35.4325,-79.2887,1,2017,15,7
2017-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,38
2017-01-03,"Blackstone","Lee",35.4325,-79.2887,1,2017,15,10
2017-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,13
2017-01-04,"Blackstone","Lee",35.4325,-79.2887,1,2017,27,14
2017-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,18
2017-01-05,"Blackstone","Lee",35.4325,-79.2887,1,2017,24,25
2017-01-05,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,33
2017-01-05,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,11
2017-01-06,"Blackstone","Lee",35.4325,-79.2887,1,2017,23,25
2017-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,25
2017-01-06,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,22
2017-01-07,"Blackstone","Lee",35.4325,-79.2887,1,2017,30,30
2017-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,40
2017-01-07,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,24
2017-01-08,"Blackstone","Lee",35.4325,-79.2887,1,2017,33,41
2017-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,44
2017-01-08,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,31
2017-01-09,"Blackstone","Lee",35.4325,-79.2887,1,2017,31,38
2017-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,52
2017-01-09,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,42
2017-01-10,"Blackstone","Lee",35.4325,-79.2887,1,2017,33,34
2017-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,54
2017-01-10,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,46
2017-01-11,"Blackstone","Lee",35.4325,-79.2887,1,2017,27,20
2017-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,49
2017-01-11,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,43
2017-01-12,"Blackstone","Lee",35.4325,-79.2887,1,2017,37,13
2017-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,41
2017-01-12,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,28
2017-01-13,"Blackstone","Lee",35.4325,-79.2887,1,2017,35,32
2017-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,53
2017-01-13,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,45
2017-01-14,"Blackstone","Lee",35.4325,-79.2887,1,2017,28,28
2017-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,52
2017-01-14,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,32
2017-01-15,"Blackstone","Lee",35.4325,-79.2887,1,2017,23,40
2017-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,43
2017-01-15,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,35
2017-01-16,"Blackstone","Lee",35.4325,-79.2887,1,2017,30,34
2017-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,64
2017-01-16,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,32
2017-01-17,"Blackstone","Lee",35.4325,-79.2887,1,2017,27,51
2017-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,53
2017-01-17,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,58
2017-01-18,"Blackstone","Lee",35.4325,-79.2887,1,2017,37,31
2017-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,29
2017-01-18,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,34
2017-01-19,"Blackstone","Lee",35.4325,-79.2887,1,2017,28,18
2017-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,32
2017-01-19,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,20
2017-01-20,"Blackstone","Lee",35.4325,-79.2887,1,2017,21,41
2017-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,40
2017-01-20,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,51
2017-01-21,"Blackstone","Lee",35.4325,-79.2887,1,2017,8,30
2017-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,44
2017-01-21,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,34
2017-01-22,"Blackstone","Lee",35.4325,-79.2887,1,2017,16,11
2017-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,23
2017-01-22,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,18
2017-01-23,"Blackstone","Lee",35.4325,-79.2887,1,2017,36,6
2017-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,15
2017-01-23,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,10
2017-01-24,"Blackstone","Lee",35.4325,-79.2887,1,2017,30,12
2017-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,20
2017-01-24,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,9
2017-01-25,"Blackstone","Lee",35.4325,-79.2887,1,2017,37,16
2017-01-25,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,34
2017-01-25,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,39
2017-01-26,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,24
2017-01-26,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,25
2017-01-27,"Blackstone","Lee",35.4325,-79.2887,1,2017,32,15
2017-01-27,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,25
2017-01-27,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,21
2017-01-28,"Blackstone","Lee",35.4325,-79.2887,1,2017,39,22
2017-01-28,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,23
2017-01-28,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,18
2017-01-29,"Blackstone","Lee",35.4325,-79.2887,1,2017,39,23
2017-01-29,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,22
2017-01-29,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,23
2017-01-30,"Blackstone","Lee",35.4325,-79.2887,1,2017,38,17
2017-01-30,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,32
2017-01-30,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,12
2017-01-31,"Blackstone","Lee",35.4325,-79.2887,1,2017,46,36
2017-01-31,"Bryson City","Swain",35.434767,-83.442133,1,2017,NA,58
2017-01-31,"Triple Oak","Wake",35.8652,-78.8197,1,2017,NA,40
2017-02-01,"Blackstone","Lee",35.4325,-79.2887,2,2017,50,54
2017-02-01,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,54
2017-02-01,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,62
2017-02-02,"Blackstone","Lee",35.4325,-79.2887,2,2017,41,50
2017-02-02,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,50
2017-02-02,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,34
2017-02-03,"Blackstone","Lee",35.4325,-79.2887,2,2017,32,32
2017-02-03,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,28
2017-02-03,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,23
2017-02-04,"Blackstone","Lee",35.4325,-79.2887,2,2017,36,83
2017-02-04,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,33
2017-02-04,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,21
2017-02-05,"Blackstone","Lee",35.4325,-79.2887,2,2017,42,55
2017-02-05,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,45
2017-02-05,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,48
2017-02-06,"Blackstone","Lee",35.4325,-79.2887,2,2017,44,59
2017-02-06,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,52
2017-02-06,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,49
2017-02-07,"Blackstone","Lee",35.4325,-79.2887,2,2017,39,57
2017-02-07,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,40
2017-02-07,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,63
2017-02-08,"Blackstone","Lee",35.4325,-79.2887,2,2017,35,28
2017-02-08,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,30
2017-02-08,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,50
2017-02-09,"Blackstone","Lee",35.4325,-79.2887,2,2017,39,15
2017-02-09,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,21
2017-02-09,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,17
2017-02-10,"Blackstone","Lee",35.4325,-79.2887,2,2017,40,30
2017-02-10,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,30
2017-02-10,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,38
2017-02-11,"Blackstone","Lee",35.4325,-79.2887,2,2017,43,41
2017-02-11,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,54
2017-02-11,"Triple Oak","Wake",35.8652,-78.8197,2,2017,NA,53
2017-02-12,"Blackstone","Lee",35.4325,-79.2887,2,2017,41,54
2017-02-12,"Bryson City","Swain",35.434767,-83.442133,2,2017,NA,63
